dwell_time_total,context,country,country_name,weight,age,age_group,gender,q06_vote,q01_currently_distributed,q03_household_income,q02_should_distributed,q04_household_size,q05_income,q05_income_group,q08_gap,q13_responsibility_govt,q14_live,q15_education
408,2,ES,Spain,2.18160214821541,55_and_over,4,2,16,3,3,3,3,332,1,2,NA,NA,NA
402,3,ES,Spain,0.8618055566446141,35_54,3,1,20,1,2,1,NA,NA,NA,NA,NA,NA,NA
67,2,ES,Spain,0.45630889606036246,18_34,2,1,20,1,1,5,4,NA,NA,NA,NA,NA,NA
100,2,ES,Spain,0.8618055566446141,35_54,3,1,19,1,1,1,8,356,1,1,6,3,NA
95,2,ES,Spain,0.8618055566446141,35_54,3,1,17,1,4,6,3,331,1,NA,NA,NA,NA
250,3,ES,Spain,0.8618055566446141,35_54,3,1,19,6,3,4,5,341,1,1,4,1,14
NA,2,ES,Spain,0.45630889606036246,18_34,2,1,19,1,4,4,4,336,1,2,NA,NA,NA
86,3,ES,Spain,0.45630889606036246,18_34,2,1,18,1,5,3,NA,NA,NA,NA,NA,NA,NA
81,2,ES,Spain,1.38016368045989,55_and_over,4,1,16,3,3,1,1,NA,NA,NA,NA,NA,NA
82,2,ES,Spain,0.8618055566446141,35_54,3,1,20,3,3,4,6,347,1,3,6,2,16
84,2,ES,Spain,0.8618055566446141,35_54,3,1,19,3,3,5,4,337,1,2,NA,NA,NA
NA,3,ES,Spain,2.18160214821541,55_and_over,4,2,14,3,4,6,3,331,1,4,2,2,14
64,3,ES,Spain,1.38016368045989,55_and_over,4,1,19,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,2,ES,Spain,1.3622419429943156,35_54,3,2,14,5,4,4,6,350,1,3,6,3,16
136,3,ES,Spain,0.8618055566446141,35_54,3,1,19,1,2,6,8,NA,NA,NA,NA,NA,NA
73,2,ES,Spain,0.45630889606036246,18_34,2,1,13,4,3,3,4,336,1,3,6,1,16
NA,3,ES,Spain,1.38016368045989,55_and_over,4,1,19,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,2,ES,Spain,0.45630889606036246,18_34,2,1,19,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,3,ES,Spain,0.7212800061246206,18_34,2,2,19,6,3,2,7,NA,NA,NA,NA,NA,NA
